Drypetes spinosodentata
Drypetes truncispinosa
Duboscia viridiflora
Ehretia cymosa
Ekebergia benguelensis
Ekebergia capensis
Elaeis guineensis
Endodesmia calophylloides
Entandrophragma angolense
Entandrophragma candollei
Entandrophragma congoense
Entandrophragma cylindricum
Entandrophragma palustre
Entandrophragma utile
Eriocoelum microspermum
Erismadelphus exsul
Erythrina abyssinica
Erythrina droogmansiana
Erythrophleum africanum
Erythrophleum suaveolens
Erythroxylum mannii
Eugenia bukobensis
Eugenia cordata
Eugenia whytei
Euphorbia abyssinica
Faurea saligna
Ficus asperifolia
Ficus bubu
Ficus cyathistipula
Ficus elastica
Ficus exasperata
Ficus louisii
Ficus lutea
Ficus mucuso
Ficus recurvata
Ficus sur
Ficus vallis-choudae
Ficus variifolia
Ficus vogeliana
Ficus wildemaniana
Fillaeopsis discophora
Funtumia africana
Funtumia elastica
Ganophyllum giganteum
Garcinia buchananii
Garcinia chromocarpa
Garcinia epunctata
Garcinia huillensis
Garcinia kola
Garcinia ovalifolia
Garcinia punctata
Garcinia smeathmannii
Gardenia imperialis
Gilbertiodendron dewevrei
Gilbertiodendron grandistipulatum
Gilbertiodendron mayombense
Gilbertiodendron ogoouense
Gilletiodendron kisantuense
Gilletiodendron mildbraedii
Gmelina arborea
Grewia coriacea
Grewia louisii
Grewia oligoneura
Grewia pinnatifida
Grewia trinervia
Grossera macrantha
Guarea cedrata
Guarea laurentii
Guarea thompsonii
Guibourtia arnoldiana
Guibourtia demeusei
Guibourtia ehie
Gymnoluma laurentii
Harungana madagascariensis
Heckeldora staudtii
Heinsia crinita
Heisteria parvifolia
Hevea brasiliensis
Hexalobus crispiflorus
Holarrhena congolensis
Holoptelea grandis
Homalium africanum
Homalium letestui
Homalium longistylum
Homalium stipulaceum
Hua gabonii
Hunteria congolana
Hunteria umbellata
Hylodendron gabunense
Hymenocardia acida
Hymenocardia ulmoides
Hymenostegia floribunda
Hymenostegia laxiflora
Hymenostegia mundungu
Hymenostegia pellegrinii
Irvingia gabonensis
Irvingia grandifolia
Irvingia robur
Irvingia smithii
Isolona congolana
Isolona dewevrei
Isolona hexaloba
Isolona thonneri
Julbernardia brieyi
Julbernardia globiflora
Julbernardia paniculata
Julbernardia pellegriniana
Julbernardia seretii
Keetia venosa
Khaya anthotheca
Khaya grandifoliola
Khaya nyasica
Kigelia africana
Klaineanthus gabonii
Klainedoxa gabonensis
Lannea welwitschii
Lasianthera africana
Lasiodiscus fasciculiflorus
Lasiodiscus mannii
Lebruniodendron leptanthum
Lecaniodiscus cupanioides
Lepidobotrys staudtii
Lepisanthes senegalensis
Leplaea mayombensis
Leptaulus daphnoides
Leptaulus holstii
Leptonychia multiflora
Leptonychia tokana
Letestua durissima
Librevillea klainei
Lijndenia jasminoides
Lophira alata
Lovoa trichilioides
Lychnodiscus cerospermus
Macaranga barteri
Macaranga monandra
Macaranga poggei
Macaranga saccifera
Macaranga schweinfurthii
Macaranga spinosa
Maesobotrya floribunda
Maesobotrya longipes
Maesobotrya staudtii
Maesopsis eminii
Magnistipula butayei
Mammea africana
Mangifera indica
Manilkara casteelsii
Manilkara multinervis
Manilkara obovata
Maprounea africana
Maprounea membranacea
Maranthes chrysophylla
Maranthes gabunensis
Maranthes glabra
Maranthes polyandra
Margaritaria discoidea
Markhamia lutea
Markhamia obtusifolia
Markhamia tomentosa
Marquesia macroura
Massularia acuminata
Microdesmis haumaniana
Microdesmis puberula
Microdesmis yafungana
Mildbraediodendron excelsum
Milicia excelsa
Millettia drastica
Millettia eetveldeana
Millettia hylobia
Millettia laurentii
Millettia limbutuensis
Millettia versicolor
Monodora angolensis
Monodora louisii
Monodora myristica
Monodora tenuifolia
Morelia senegalensis
Morinda lucida
Morus mesozygia
Musanga cecropioides
Mussaenda erythrophylla
Myrianthus arboreus
Myrianthus preussii
Napoleonaea imperialis
Napoleonaea septentrionalis
Nauclea diderrichii
Nauclea vanderguchtii
Neoboutonia macrocalyx
Nesogordonia dewevrei
Nesogordonia leplaei
Nesogordonia papaverifera
Newtonia glandulifera
Newtonia leucocarpa
Ochna afzelii
Octolobus spectabilis
Okoubaka aubrevillei
Omphalocarpum injoloense
Omphalocarpum lecomteanum
Omphalocarpum mortehanii
Omphalocarpum pachysteloides
Oncoba crepiniana
Oncoba dentata
Oncoba mannii
Oncoba subtomentosa
Oncoba welwitschii
Ongokea gore
Ongokea klaineana
Oxyanthus speciosus
Pachyelasma tessmannii
Pancovia harmsiana
Pancovia laurentii
Panda oleosa
Paracoffea lebruniana
Paramacrolobium coeruleum
Parinari curatellifolia
Parkia bicolor
Parkia filicoidea
Paropsia guineensis
Pauridiantha callicarpoides
Pauridiantha dewevrei
Pausinystalia macroceras
Pausinystalia pynaertii
Penianthus longifolius
Pentaclethra eetveldeana
Pentaclethra macrophylla
Pentadesma butyracea
Pericopsis angolensis
Pericopsis elata
Persea americana
Petersianthus macrocarpus
Phyllanthus polyanthus
Phyllocosmus africanus
Picralima nitida
Pierreodendron africanum
Piptadeniastrum africanum
Piptostigma fasciculatum
Piptostigma mortehanii
Placodiscus resendeanus
Plagiostyles africana
Platysepalum chevalieri
Platysepalum violaceum
Pleiocarpa pycnantha
Polyceratocarpus vermoesenii
Polyscias fulva
Pouteria altissima
Prioria balsamifera
Prioria oxyphylla
Protomegabaria stapfiana
Pseudomacrolobium mengei
Pseudospondias longifolia
Psychotria dermatophylla
Pteleopsis hylodendron
Pterocarpus angolensis
Pterocarpus soyauxii
Pterocarpus tinctorius
Pterygota bequaertii
Pterygota macrocarpa
Pycnanthus angolensis
Pycnanthus marchalianus
Quassia africana
Quassia silvestris
Quassia undulata
Radlkofera calodendron
Raphia laurentii
Rauvolfia vomitoria
Rhopalopilia pallens
Ricinodendron heudelotii
Rinorea oblongifolia
Rinorea welwitschii
Rothmannia libisa
Rothmannia longiflora
Rothmannia lujae
Rothmannia macrocarpa
Rytigynia verruculosa
Samanea leptophylla
Santiria trimera
Sapindus saponaria
Sarcocephalus latifolius
Scaphopetalum thonneri
Schefflerodendron usambarense
Schrebera arborea
Schumanniophyton magnificum
Scorodophloeus zenkeri
Scytopetalum pierreanum
Semecarpus anacardium
Sloetiopsis usambarensis
Sorindeia africana
Sorindeia claessensii
Sorindeia grandifolia
Sorindeia juglandifolia
Sorindeia katangensis
Sorindeia mayumbensis
Sorindeia submontana
Spathodea campanulata
Spondianthus preussii
Spondias mombin
Staudtia kamerunensis
Staudtia stipitata
Sterculia dawei
Sterculia quinqueloba
Sterculia subviolacea
Sterculia tragacantha
Strombosia glaucescens
Strombosia grandifolia
Strombosia nigropunctata
Strombosia pustulata
Strombosiopsis tetrandra
Strychnos icaja
Strychnos spinosa
Symphonia globulifera
Synsepalum dulcificum
Synsepalum stipulatum
Synsepalum subcordatum
Syzygium congolense
Syzygium cordatum
Syzygium guineense
Syzygium staudtii
Tabernaemontana crassa
Tapura lujae
Terminalia catappa
Terminalia superba
Tessmannia africana
Tessmannia anomala
Tessmannia lescrauwaetii
Tessmannia yangambiensis
Tetraberlinia bifoliolata
Tetrapleura tetraptera
Tetrorchidium didymostemon
Thomandersia hensii
Thomandersia laurifolia
Tieghemella africana
Tieghemella heckelii
Treculia africana
Treculia obovoidea
Trema orientalis
Tricalysia pallens
Trichilia gilgiana
Trichilia gilletii
Trichilia monadelpha
Trichilia prieuriana
Trichilia retusa
Trichilia rubescens
Trichilia tessmannii
Trichilia welwitschii
Trichoscypha acuminata
Trichoscypha ferruginea
Trichoscypha oddonii
Tridesmostemon omphalocarpoides
Trilepisium madagascariense
Triplochiton scleroxylon
Turraeanthus africanus
Uapaca guineensis
Uapaca heudelotii
Uapaca kirkiana
Uapaca nitida
Uapaca sansibarica
Uvariastrum germainii
Uvariopsis congolana
Vepris louisii
Vernonia amygdalina
Vernonia brazzavillensis
Vitex congolensis
Vitex ferruginea
Vitex madiensis
Vitex welwitschii
Voacanga africana
Voacanga chalotiana
Voacanga thouarsii
Ximenia americana
Xylopia acutiflora
Xylopia aethiopica
Xylopia aurantiiodora
Xylopia chrysophylla
Xylopia flamignii
Xylopia gilbertii
Xylopia hypolampra
Xylopia katangensis
Xylopia parviflora
Xylopia phloiodora
Xylopia rubescens
Xylopia staudtii
Xylopia toussaintii
Xylopia villosa
Xylopia wilwerthii
Zanha golungensis
Zanthoxylum gilletii
Zanthoxylum heitzii
Zanthoxylum lemairei
Zanthoxylum mildbraedii
Zanthoxylum rubescens
